"id","amount","profit","quantity","category","sub_category"
"B-25653","168","-10","3","Electronics     ","Accessories                     "
"B-25653","1327","318","8","Furniture       ","Chairs                          "
"B-25653","195","-117","5","Electronics     ","Phones                          "
"B-25653","115","25","1","Electronics     ","Accessories                     "
"B-25653","668","-31","3","Electronics     ","Printers                        "
"B-25653","227","102","8","Electronics     ","Accessories                     "
"B-25654","34","12","3","Clothing        ","Hankerchief                     "
"B-25654","229","-23","2","Clothing        ","Saree                           "
"B-25654","54","-3","3","Clothing        ","Saree                           "
"B-25654","269","-86","2","Electronics     ","Electronic Games                "
"B-25654","122","-21","3","Furniture       ","Furnishings                     "
"B-25654","105","46","2","Clothing        ","Stole                           "
"B-25654","450","-90","3","Electronics     ","Printers                        "
"B-25654","121","-17","3","Furniture       ","Furnishings                     "
"B-25655","44","-26","3","Clothing        ","Hankerchief                     "
"B-25655","7","-4","3","Clothing        ","Hankerchief                     "
"B-25655","396","-31","9","Clothing        ","Saree                           "
"B-25655","97","-62","2","Clothing        ","Trousers                        "
"B-25655","110","-68","4","Clothing        ","Saree                           "
"B-25655","312","-312","7","Furniture       ","Chairs                          "
"B-25655","9","-6","2","Clothing        ","Skirt                           "
"B-25655","6","-3","1","Clothing        ","Hankerchief                     "
"B-25655","74","23","8","Clothing        ","Skirt                           "
"B-25656","534","0","3","Clothing        ","Saree                           "
"B-25656","30","-5","5","Clothing        ","Stole                           "
"B-25656","61","-23","2","Clothing        ","Saree                           "
"B-25656","6","3","1","Clothing        ","Hankerchief                     "
"B-25656","24","-1","2","Clothing        ","Hankerchief                     "
"B-25656","56","18","2","Clothing        ","Hankerchief                     "
"B-25656","406","126","2","Clothing        ","Saree                           "
"B-25656","624","37","2","Electronics     ","Electronic Games                "
"B-25656","101","18","9","Clothing        ","Skirt                           "
"B-25656","1389","680","7","Clothing        ","Saree                           "
"B-25656","651","169","5","Electronics     ","Printers                        "
"B-25656","13","-1","3","Clothing        ","Hankerchief                     "
"B-25657","1021","-48","4","Electronics     ","Electronic Games                "
"B-25657","32","-22","5","Clothing        ","Saree                           "
"B-25657","332","-43","6","Electronics     ","Phones                          "
"B-25657","288","-180","4","Furniture       ","Chairs                          "
"B-25658","27","9","2","Clothing        ","T-shirt                         "
"B-25659","148","72","7","Clothing        ","T-shirt                         "
"B-25660","245","-78","3","Clothing        ","Saree                           "
"B-25661","19","-15","3","Clothing        ","Hankerchief                     "
"B-25661","224","-81","3","Furniture       ","Chairs                          "
"B-25661","58","-42","2","Furniture       ","Chairs                          "
"B-25661","145","-104","5","Furniture       ","Chairs                          "
"B-25661","55","-33","2","Furniture       ","Chairs                          "
"B-25661","7","-1","2","Clothing        ","Hankerchief                     "
"B-25662","24","-2","2","Clothing        ","T-shirt                         "
"B-25662","86","-21","1","Electronics     ","Electronic Games                "
"B-25662","385","-77","11","Furniture       ","Furnishings                     "
"B-25663","294","138","2","Electronics     ","Printers                        "
"B-25664","444","-200","4","Electronics     ","Phones                          "
"B-25664","785","52","2","Electronics     ","Phones                          "
"B-25664","258","-27","2","Electronics     ","Phones                          "
"B-25664","83","-48","1","Furniture       ","Bookcases                       "
"B-25665","166","-113","4","Electronics     ","Accessories                     "
"B-25666","934","-916","7","Electronics     ","Electronic Games                "
"B-25667","11","-2","4","Clothing        ","Hankerchief                     "
"B-25667","41","6","5","Clothing        ","Skirt                           "
"B-25667","344","-34","3","Clothing        ","Saree                           "
"B-25667","1030","206","8","Electronics     ","Printers                        "
"B-25667","516","69","4","Furniture       ","Bookcases                       "
"B-25668","123","17","3","Furniture       ","Furnishings                     "
"B-25669","610","-66","2","Furniture       ","Tables                          "
"B-25670","74","29","3","Clothing        ","Stole                           "
"B-25670","24","1","2","Clothing        ","Hankerchief                     "
"B-25670","14","2","1","Clothing        ","Hankerchief                     "
"B-25670","656","-36","2","Furniture       ","Bookcases                       "
"B-25671","832","0","3","Clothing        ","Trousers                        "
"B-25672","27","-15","1","Clothing        ","Stole                           "
"B-25673","143","-124","5","Clothing        ","Saree                           "
"B-25673","44","-17","5","Clothing        ","Saree                           "
"B-25673","45","-2","4","Clothing        ","Shirt                           "
"B-25673","16","-1","1","Clothing        ","Saree                           "
"B-25673","37","-5","3","Clothing        ","T-shirt                         "
"B-25674","17","-12","5","Clothing        ","Skirt                           "
"B-25675","929","-93","9","Clothing        ","Saree                           "
"B-25676","342","-103","4","Electronics     ","Electronic Games                "
"B-25676","1263","-56","5","Clothing        ","Trousers                        "
"B-25676","674","-187","2","Furniture       ","Tables                          "
"B-25676","32","6","3","Clothing        ","Shirt                           "
"B-25676","79","36","4","Clothing        ","Shirt                           "
"B-25677","20","-2","1","Electronics     ","Accessories                     "
"B-25678","64","-7","3","Clothing        ","Saree                           "
"B-25678","7","-3","2","Clothing        ","Skirt                           "
"B-25678","327","-39","1","Electronics     ","Phones                          "
"B-25678","27","-25","2","Clothing        ","Shirt                           "
"B-25679","76","-50","1","Clothing        ","Saree                           "
"B-25680","73","-25","3","Clothing        ","Saree                           "
"B-25681","68","-27","3","Electronics     ","Accessories                     "
"B-25681","523","204","7","Clothing        ","Trousers                        "
"B-25681","44","-3","1","Clothing        ","Saree                           "
"B-25681","243","-14","2","Furniture       ","Chairs                          "
"B-25681","1625","-77","3","Electronics     ","Phones                          "
"B-25681","1096","-658","7","Electronics     ","Electronic Games                "
"B-25682","545","-73","11","Electronics     ","Phones                          "
"B-25683","433","26","3","Electronics     ","Printers                        "
"B-25683","245","-3","4","Electronics     ","Phones                          "
"B-25683","155","56","3","Furniture       ","Furnishings                     "
"B-25683","148","52","5","Clothing        ","Stole                           "
"B-25683","86","-55","6","Clothing        ","Saree                           "
"B-25684","134","42","2","Furniture       ","Chairs                          "
"B-25685","51","7","2","Furniture       ","Furnishings                     "
"B-25685","529","137","3","Electronics     ","Phones                          "
"B-25685","264","-30","3","Furniture       ","Furnishings                     "
"B-25685","45","-2","4","Clothing        ","Shirt                           "
"B-25686","381","-13","2","Clothing        ","Saree                           "
"B-25686","332","-503","3","Electronics     ","Printers                        "
"B-25686","1829","-56","6","Furniture       ","Tables                          "
"B-25687","17","6","1","Clothing        ","Stole                           "
"B-25687","357","139","2","Clothing        ","Saree                           "
"B-25687","51","21","3","Clothing        ","T-shirt                         "
"B-25687","387","-213","5","Clothing        ","Saree                           "
"B-25687","14","-1","4","Clothing        ","Kurti                           "
"B-25688","352","-345","5","Clothing        ","Saree                           "
"B-25689","469","-459","3","Electronics     ","Electronic Games                "
"B-25689","97","17","2","Clothing        ","Stole                           "
"B-25689","149","36","3","Clothing        ","Stole                           "
"B-25690","31","10","3","Clothing        ","Skirt                           "
"B-25691","714","56","4","Clothing        ","Saree                           "
"B-25691","75","-25","3","Clothing        ","Stole                           "
"B-25691","17","-9","3","Clothing        ","Stole                           "
"B-25692","141","28","7","Furniture       ","Furnishings                     "
"B-25693","76","-72","9","Clothing        ","Hankerchief                     "
"B-25693","632","-316","6","Clothing        ","Saree                           "
"B-25693","32","-16","6","Clothing        ","Saree                           "
"B-25693","68","-30","1","Electronics     ","Phones                          "
"B-25693","82","-39","5","Clothing        ","T-shirt                         "
"B-25693","72","-49","1","Electronics     ","Phones                          "
"B-25693","13","-13","2","Clothing        ","Skirt                           "
"B-25694","167","43","7","Clothing        ","T-shirt                         "
"B-25695","171","14","9","Clothing        ","Shirt                           "
"B-25696","117","-6","3","Electronics     ","Phones                          "
"B-25696","116","-4","1","Clothing        ","Saree                           "
"B-25696","887","80","3","Electronics     ","Printers                        "
"B-25696","275","-275","4","Clothing        ","Saree                           "
"B-25696","44","7","3","Clothing        ","Kurti                           "
"B-25696","168","-9","3","Clothing        ","Saree                           "
"B-25697","114","8","3","Electronics     ","Accessories                     "
"B-25697","1300","-16","8","Electronics     ","Printers                        "
"B-25697","4","-3","1","Clothing        ","Skirt                           "
"B-25697","73","-7","1","Electronics     ","Phones                          "
"B-25697","67","-42","3","Clothing        ","Stole                           "
"B-25697","322","-193","5","Electronics     ","Printers                        "
"B-25697","115","-39","3","Clothing        ","Trousers                        "
"B-25698","87","-83","5","Clothing        ","Kurti                           "
"B-25698","27","-6","4","Clothing        ","Hankerchief                     "
"B-25698","207","-153","3","Clothing        ","Saree                           "
"B-25698","516","-392","8","Furniture       ","Chairs                          "
"B-25698","7","-2","1","Clothing        ","Hankerchief                     "
"B-25698","65","-16","2","Electronics     ","Phones                          "
"B-25699","20","-22","1","Furniture       ","Furnishings                     "
"B-25699","49","-31","2","Clothing        ","Stole                           "
"B-25699","34","-13","5","Clothing        ","Leggings                        "
"B-25699","21","-5","1","Electronics     ","Accessories                     "
"B-25700","129","-75","5","Clothing        ","Shirt                           "
"B-25700","44","-32","3","Clothing        ","Stole                           "
"B-25700","7","-3","2","Clothing        ","Hankerchief                     "
"B-25701","10","-8","2","Clothing        ","Skirt                           "
"B-25701","33","-29","3","Clothing        ","Shirt                           "
"B-25701","98","-45","2","Furniture       ","Chairs                          "
"B-25701","33","-12","5","Clothing        ","Hankerchief                     "
"B-25702","75","0","3","Clothing        ","Shirt                           "
"B-25702","424","-17","9","Furniture       ","Chairs                          "
"B-25702","31","-3","4","Clothing        ","Saree                           "
"B-25702","941","-203","3","Furniture       ","Tables                          "
"B-25702","306","-147","3","Clothing        ","Saree                           "
"B-25703","42","-23","2","Furniture       ","Furnishings                     "
"B-25703","17","-3","2","Clothing        ","Stole                           "
"B-25703","32","-5","5","Clothing        ","Hankerchief                     "
"B-25703","231","-190","9","Clothing        ","Hankerchief                     "
"B-25703","22","-15","4","Clothing        ","Kurti                           "
"B-25703","97","-45","4","Clothing        ","Saree                           "
"B-25703","47","-27","4","Clothing        ","Saree                           "
"B-25703","186","-141","9","Clothing        ","Shirt                           "
"B-25704","126","-63","3","Electronics     ","Accessories                     "
"B-25704","102","0","3","Electronics     ","Phones                          "
"B-25705","46","0","2","Electronics     ","Electronic Games                "
"B-25706","31","-11","4","Clothing        ","Stole                           "
"B-25707","8","-6","1","Clothing        ","Stole                           "
"B-25708","191","13","8","Furniture       ","Furnishings                     "
"B-25708","709","-100","5","Electronics     ","Phones                          "
"B-25708","81","-51","7","Clothing        ","Stole                           "
"B-25708","32","-8","2","Clothing        ","Stole                           "
"B-25709","33","-12","7","Clothing        ","Saree                           "
"B-25709","41","-6","1","Furniture       ","Chairs                          "
"B-25710","216","-38","6","Furniture       ","Furnishings                     "
"B-25710","616","-69","7","Furniture       ","Furnishings                     "
"B-25710","10","-1","1","Clothing        ","Leggings                        "
"B-25710","25","0","4","Clothing        ","Skirt                           "
"B-25710","53","-18","4","Clothing        ","T-shirt                         "
"B-25710","13","-8","1","Clothing        ","T-shirt                         "
"B-25711","100","-58","4","Clothing        ","Hankerchief                     "
"B-25712","193","-275","3","Electronics     ","Phones                          "
"B-25713","158","-63","4","Furniture       ","Chairs                          "
"B-25714","11","-5","2","Clothing        ","Hankerchief                     "
"B-25714","340","20","7","Clothing        ","Shirt                           "
"B-25715","416","137","3","Electronics     ","Phones                          "
"B-25716","58","0","4","Clothing        ","Saree                           "
"B-25717","561","212","3","Clothing        ","Saree                           "
"B-25717","138","-3","5","Clothing        ","Saree                           "
"B-25717","90","17","3","Clothing        ","Shirt                           "
"B-25717","55","-33","2","Furniture       ","Chairs                          "
"B-25718","371","115","1","Furniture       ","Bookcases                       "
"B-25718","460","31","3","Furniture       ","Bookcases                       "
"B-25719","29","10","2","Clothing        ","Stole                           "
"B-25720","30","-35","1","Furniture       ","Chairs                          "
"B-25721","29","-18","7","Clothing        ","Skirt                           "
"B-25721","191","51","5","Clothing        ","Shirt                           "
"B-25721","149","-40","2","Electronics     ","Phones                          "
"B-25722","48","-8","8","Clothing        ","Stole                           "
"B-25723","26","-24","1","Clothing        ","Stole                           "
"B-25723","16","-12","2","Clothing        ","Stole                           "
"B-25723","12","-7","2","Clothing        ","Leggings                        "
"B-25723","76","-54","3","Electronics     ","Electronic Games                "
"B-25724","168","-51","2","Furniture       ","Bookcases                       "
"B-25725","23","-5","7","Clothing        ","Hankerchief                     "
"B-25725","26","-5","2","Clothing        ","Stole                           "
"B-25725","144","-7","4","Electronics     ","Electronic Games                "
"B-25726","490","-128","8","Furniture       ","Bookcases                       "
"B-25727","57","-48","6","Clothing        ","Leggings                        "
"B-25727","327","114","4","Clothing        ","Trousers                        "
"B-25728","1055","264","4","Electronics     ","Printers                        "
"B-25728","771","-424","2","Electronics     ","Phones                          "
"B-25728","322","-113","4","Clothing        ","Saree                           "
"B-25729","1549","-439","4","Electronics     ","Phones                          "
"B-25730","1145","-706","3","Electronics     ","Phones                          "
"B-25730","473","42","4","Furniture       ","Chairs                          "
"B-25730","96","22","5","Clothing        ","Stole                           "
"B-25730","18","8","2","Clothing        ","Hankerchief                     "
"B-25730","187","30","4","Electronics     ","Accessories                     "
"B-25730","83","-81","3","Furniture       ","Chairs                          "
"B-25731","131","-154","8","Furniture       ","Furnishings                     "
"B-25732","16","-5","2","Clothing        ","Stole                           "
"B-25733","43","-43","7","Clothing        ","Stole                           "
"B-25733","30","-10","2","Clothing        ","Stole                           "
"B-25733","23","-6","4","Clothing        ","Hankerchief                     "
"B-25734","108","-19","3","Electronics     ","Electronic Games                "
"B-25735","12","-2","3","Clothing        ","Hankerchief                     "
"B-25735","7","-1","2","Clothing        ","Skirt                           "
"B-25735","15","-7","1","Clothing        ","Hankerchief                     "
"B-25736","31","-7","5","Clothing        ","Skirt                           "
"B-25737","187","-15","3","Clothing        ","Trousers                        "
"B-25738","70","-14","2","Furniture       ","Furnishings                     "
"B-25738","72","-6","3","Clothing        ","Saree                           "
"B-25738","1069","0","6","Clothing        ","Saree                           "
"B-25738","148","-91","2","Electronics     ","Phones                          "
"B-25739","133","-56","2","Furniture       ","Chairs                          "
"B-25740","40","-37","3","Clothing        ","Stole                           "
"B-25740","7","0","2","Clothing        ","Skirt                           "
"B-25740","58","-8","2","Clothing        ","Saree                           "
"B-25741","482","-6","7","Electronics     ","Electronic Games                "
"B-25742","11","-8","2","Clothing        ","Skirt                           "
"B-25743","143","-124","5","Clothing        ","Saree                           "
"B-25743","9","-5","1","Clothing        ","Saree                           "
"B-25743","503","-56","2","Clothing        ","Trousers                        "
"B-25743","74","-51","3","Clothing        ","Stole                           "
"B-25743","56","0","4","Clothing        ","Hankerchief                     "
"B-25744","373","-254","6","Electronics     ","Printers                        "
"B-25745","44","-8","3","Clothing        ","Stole                           "
"B-25745","296","-225","11","Clothing        ","Saree                           "
"B-25745","670","15","5","Furniture       ","Bookcases                       "
"B-25745","132","-79","5","Furniture       ","Furnishings                     "
"B-25746","87","16","2","Clothing        ","Saree                           "
"B-25747","877","395","2","Furniture       ","Bookcases                       "
"B-25748","141","10","4","Clothing        ","Shirt                           "
"B-25748","224","58","3","Electronics     ","Phones                          "
"B-25748","8","-1","2","Clothing        ","Leggings                        "
"B-25748","47","-21","2","Electronics     ","Electronic Games                "
"B-25749","1052","-82","3","Furniture       ","Bookcases                       "
"B-25750","212","-24","2","Furniture       ","Chairs                          "
"B-25750","42","-15","12","Clothing        ","Skirt                           "
"B-25750","208","-25","2","Clothing        ","Saree                           "
"B-25750","22","-12","3","Clothing        ","Stole                           "
"B-25750","539","-146","7","Furniture       ","Furnishings                     "
"B-25750","78","-6","2","Furniture       ","Furnishings                     "
"B-25750","20","-18","2","Clothing        ","Saree                           "
"B-25750","19","-1","1","Clothing        ","Shirt                           "
"B-25750","73","-31","1","Furniture       ","Bookcases                       "
"B-25751","10","-8","1","Clothing        ","Kurti                           "
"B-25751","14","-3","2","Clothing        ","Leggings                        "
"B-25751","68","-56","2","Electronics     ","Phones                          "
"B-25751","106","0","2","Electronics     ","Phones                          "
"B-25751","43","-5","2","Clothing        ","Saree                           "
"B-25751","43","21","3","Clothing        ","Shirt                           "
"B-25751","534","5","2","Electronics     ","Electronic Games                "
"B-25751","32","7","3","Clothing        ","Hankerchief                     "
"B-25751","65","-4","6","Clothing        ","Hankerchief                     "
"B-25751","221","-15","2","Electronics     ","Electronic Games                "
"B-25752","1361","197","9","Furniture       ","Bookcases                       "
"B-25752","761","266","9","Electronics     ","Electronic Games                "
"B-25752","76","27","5","Clothing        ","Stole                           "
"B-25752","91","15","6","Clothing        ","T-shirt                         "
"B-25752","8","-2","2","Clothing        ","Hankerchief                     "
"B-25752","735","-235","6","Electronics     ","Printers                        "
"B-25752","33","-27","1","Furniture       ","Chairs                          "
"B-25753","62","-56","5","Clothing        ","Kurti                           "
"B-25753","27","-20","2","Clothing        ","Hankerchief                     "
"B-25753","65","-52","3","Electronics     ","Accessories                     "
"B-25753","47","-114","5","Furniture       ","Furnishings                     "
"B-25753","341","-85","6","Clothing        ","Trousers                        "
"B-25753","107","31","5","Clothing        ","T-shirt                         "
"B-25753","154","22","7","Clothing        ","T-shirt                         "
"B-25753","620","82","6","Electronics     ","Accessories                     "
"B-25753","77","-43","8","Clothing        ","Stole                           "
"B-25754","72","-46","7","Clothing        ","Kurti                           "
"B-25754","41","-14","5","Clothing        ","Leggings                        "
"B-25754","30","-23","2","Clothing        ","Saree                           "
"B-25754","93","-65","4","Clothing        ","Stole                           "
"B-25754","19","0","3","Clothing        ","Skirt                           "
"B-25754","9","-1","3","Clothing        ","Skirt                           "
"B-25754","319","-312","5","Clothing        ","Saree                           "
"B-25754","262","-215","2","Electronics     ","Printers                        "
"B-25755","37","-53","3","Clothing        ","Saree                           "
"B-25755","257","-3","2","Furniture       ","Bookcases                       "
"B-25755","80","-19","5","Clothing        ","Stole                           "
"B-25755","321","-315","5","Clothing        ","Saree                           "
"B-25755","47","-3","2","Clothing        ","Stole                           "
"B-25755","593","213","4","Furniture       ","Bookcases                       "
"B-25755","134","-34","2","Furniture       ","Chairs                          "
"B-25755","1709","564","3","Clothing        ","Trousers                        "
"B-25755","27","4","2","Clothing        ","Saree                           "
"B-25756","465","-33","4","Electronics     ","Phones                          "
"B-25756","643","-45","2","Electronics     ","Printers                        "
"B-25756","204","-276","3","Furniture       ","Bookcases                       "
"B-25756","729","-492","5","Furniture       ","Bookcases                       "
"B-25756","29","-24","4","Clothing        ","Leggings                        "
"B-25757","17","-13","4","Clothing        ","Skirt                           "
"B-25757","34","-11","5","Clothing        ","T-shirt                         "
"B-25757","98","9","2","Furniture       ","Furnishings                     "
"B-25757","3151","-35","7","Clothing        ","Trousers                        "
"B-25757","53","15","2","Clothing        ","Stole                           "
"B-25757","165","30","3","Clothing        ","Stole                           "
"B-25757","211","19","8","Clothing        ","Stole                           "
"B-25757","106","15","7","Clothing        ","Hankerchief                     "
"B-25757","14","5","1","Clothing        ","Hankerchief                     "
"B-25757","17","7","3","Clothing        ","Hankerchief                     "
"B-25757","46","14","5","Clothing        ","Skirt                           "
"B-25758","8","-2","1","Clothing        ","Stole                           "
"B-25759","20","-9","6","Clothing        ","Hankerchief                     "
"B-25760","322","-193","5","Electronics     ","Printers                        "
"B-25761","2188","1050","5","Furniture       ","Bookcases                       "
"B-25761","328","-15","3","Electronics     ","Electronic Games                "
"B-25761","418","70","7","Electronics     ","Phones                          "
"B-25761","40","0","3","Clothing        ","Saree                           "
"B-25761","102","-90","1","Clothing        ","Saree                           "
"B-25761","263","-31","9","Electronics     ","Electronic Games                "
"B-25762","1316","-527","7","Electronics     ","Electronic Games                "
"B-25762","27","4","3","Clothing        ","Skirt                           "
"B-25762","98","-5","2","Clothing        ","Saree                           "
"B-25763","58","-52","3","Furniture       ","Chairs                          "
"B-25764","119","43","5","Clothing        ","T-shirt                         "
"B-25764","765","-153","2","Electronics     ","Phones                          "
"B-25764","26","0","2","Clothing        ","Kurti                           "
"B-25764","24","-24","2","Clothing        ","Saree                           "
"B-25765","139","14","3","Clothing        ","Stole                           "
"B-25766","220","-19","2","Clothing        ","Saree                           "
"B-25767","299","-28","3","Electronics     ","Electronic Games                "
"B-25767","9","-9","2","Clothing        ","Kurti                           "
"B-25767","74","-59","2","Electronics     ","Accessories                     "
"B-25767","29","-3","3","Clothing        ","Saree                           "
